restaurant_name,food_name,serving_size,serving_unit,calories,carbohydrates,sugars,fats,saturated_fats,cholesterol,sodium,fiber,potassium,proteins,carb_percent,fat_percent,protein_percent
Olive Garden Grocery,"Italian Dressing, Light",2.0,tbsp,15.3,1.5,1.37,1.0,0.12,0.0,133.65,0.0,13.5,0.06,39.21568627450981,58.82352941176471,1.5686274509803921
Olive Garden Grocery,Italian Dressing,2.0,tbsp,35.28,1.78,1.58,3.1,0.43,0.0,145.97,0.0,12.35,0.06,20.181405895691608,79.08163265306123,0.6802721088435374
Olive Garden,Calamari,1.0,serving,356.47,37.45,0.14,14.51,1.33,192.16,252.36,1.33,261.99,17.61,42.02317165539877,36.634218868347965,19.760428647572024
Olive Garden,Cappuccino,1.0,serving,119.7,11.97,11.57,4.64,2.93,18.3,115.8,0.0,388.33,7.62,40.0,34.887218045112775,25.46365914786967
Olive Garden,Coffee,1.0,serving,2.37,0.0,0.0,0.05,0.0,0.0,4.74,0.0,116.13,0.28,0.0,18.987341772151897,47.257383966244724
Olive Garden,Coke,1.0,serving,155.4,38.33,36.78,0.93,0.0,0.0,11.1,0.0,18.5,0.0,98.66151866151866,5.386100386100386,0.0
Olive Garden,Sprite,1.0,serving,151.29,38.45,38.3,0.0,0.0,0.0,36.9,0.0,3.69,0.33,101.65906537114154,0.0,0.8724965298433474
Olive Garden,Tea,1.0,serving,1.78,0.53,20.65,0.0,0.0,0.0,0.0,0.0,37.38,0.0,119.10112359550563,0.0,0.0
Olive Garden,Tiramisu,1.0,serving,572.0,35.11,20.65,44.36,25.45,306.58,300.41,0.33,160.95,8.29,24.55244755244755,69.7972027972028,5.797202797202797
Olive Garden,"Dressing, Classic Caesar",2.0,tbsp,6.96,1.52,0.09,0.22,0.07,0.0,745.23,0.96,38.19,0.28,87.35632183908046,28.448275862068968,16.09195402298851
Olive Garden,Amaretto Sour,1.0,serving,227.69,34.48,33.07,0.2,0.06,0.0,7.47,0.1,43.95,0.16,60.57358689446176,0.7905485528569546,0.281083929904695
Olive Garden,Apple Juice,1.0,serving,114.08,28.02,23.86,0.32,0.05,0.0,9.92,0.5,250.48,0.25,98.24684431977559,2.524544179523142,0.876577840112202
Olive Garden,"Breadstick, Plain",1.0,ea,24.72,4.1,0.08,0.57,0.08,0.0,42.78,0.18,7.44,0.72,66.34304207119742,20.752427184466022,11.650485436893204
Olive Garden,"Catering, Coke",2.0,liter,163.89,40.66,38.93,0.86,0.0,0.0,10.21,0.2,37.93,0.1,99.23729330648607,4.722679846238331,0.24406614192446158
Olive Garden,"Catering, Sprite",2.0,liter,197.7,25.67,25.58,0.0,0.0,0.0,25.06,0.0,2.88,0.22,51.93727870510876,0.0,0.44511886697015685
Olive Garden,"Catering, Tiramisu",1.0,slice,572.0,35.11,20.65,44.36,25.45,306.58,300.41,0.33,160.95,8.29,24.55244755244755,69.7972027972028,5.797202797202797
Olive Garden,Chicken Parmigiana,1.0,serving,324.36,17.36,4.44,16.92,4.05,85.86,852.24,1.43,465.87,25.71,21.408311752373905,46.94783573806882,31.7055123936367
Olive Garden,Chicken Scampi,1.0,serving,253.99,3.3,2.41,17.78,4.08,63.93,226.33,0.37,208.22,19.18,5.197055002165439,63.00248041261467,30.205913618646402
Outback Steakhouse,Outback Manhattan,1.0,Serving,647.9,67.0,6.42,20.28,6.5,95.32,3558.06,4.83,1874.17,48.52,41.364408087667854,28.171014045377373,29.955240006173796
Outback Steakhouse,"Airport Locations, Outback Breakfast",1.0,Serving,210.67,28.13,1.48,5.36,2.66,14.44,570.34,1.54,181.88,11.55,53.41054730146675,22.89837186120473,21.930032752646323
Outback Steakhouse,"Outback Ribs, Full Rack",1.0,Serving,151.9,11.96,11.96,8.11,4.65,26.95,257.25,0.0,330.75,7.86,31.49440421329822,48.05134957208689,20.697827518104017
Outback Steakhouse,"Outback Ribs, Half Rack",1.0,Serving,1954.19,145.37,18.72,146.08,51.32,163.24,3313.59,9.1,545.16,18.36,29.755550893208948,67.27697920877704,3.758078794794774
Outback Steakhouse,Steakhouse Mac & Cheese,1.0,Serving,376.2,47.38,8.45,16.39,3.6,5.94,669.24,2.38,255.42,9.68,50.377458798511434,39.21052631578947,10.292397660818715
Outback Steakhouse,Steakhouse Mac & Cheese Bites,1.0,Serving,87.05,5.81,0.22,5.97,2.6,21.31,98.01,0.3,27.31,2.53,26.697300402067775,61.72314761631246,11.625502584721424
Outback Steakhouse,"Individual Meals, Outback Ribs, Half Rack",1.0,Serving,576.2,62.39,7.68,26.4,9.18,30.1,961.05,4.73,326.8,22.27,43.3113502256161,41.235682054842066,15.45990975355779
Outback Steakhouse,"Outback Center Cut Sirloin, 8 oz",1.0,Serving,221.0,0.0,8.065,13.4,4.92,69.7,52.7,0.0,340.85,23.49,0.0,54.57013574660634,42.515837104072396
