restaurant_name,food_name,serving_size,serving_unit,calories,carbohydrates,sugars,fats,saturated_fats,cholesterol,sodium,fiber,potassium,proteins,carb_percent,fat_percent,protein_percent,score
BJ's Restaurants,BJ's Original Wings,1.0,Serving,148.96,15.07,0.09,9.51,0.95,0.0,147.56,0.87,334.88,1.79,40.4672395273899,57.45837808807733,4.806659505907626,0.46
BJ's Restaurants,BJ's PM Porter,16.0,fl oz,196.85,6.56,0.36,0.0,0.0,0.0,16.35,0.0,84.7,0.96,13.329946659893318,0.0,1.9507239014478028,0.353
BJ's Restaurants,BJ's Tatonka Stout,16.0,fl oz,196.85,6.56,0.36,0.0,0.0,0.0,16.35,0.0,84.7,0.96,13.329946659893318,0.0,1.9507239014478028,0.353
BJ's Restaurants,BJ's Berry Burst Cider,16.0,fl oz,20.4,4.13,2.91,0.41,0.39,0.0,0.1,0.0,0.1,0.02,80.98039215686275,18.08823529411765,0.39215686274509803,0.223
BJ's Restaurants,BJ's Classic Combo Pizza,1.0,Slice,357.5,27.93,2.91,20.5,3.57,170.0,1322.5,3.25,635.0,6.7,31.25034965034965,51.608391608391614,7.496503496503497,0.526
BJ's Restaurants,BJ's Classic Rib-Eye,1.0,Serving,805.45,7.18,3.5,77.56,22.46,96.96,3060.17,1.03,303.67,22.58,3.565708610093736,86.66459743000806,11.21360730026693,0.342
BJ's Restaurants,BJ's Committed Double IPA,16.0,fl oz,342.89,40.94,5.29,16.83,7.32,0.0,447.32,4.86,224.07,8.74,47.75875645250663,44.17451660882498,10.195689579748608,0.587
BJ's Restaurants,BJ's Enchantress Golden Pilsner,16.0,fl oz,153.08,12.64,0.0,0.0,0.0,0.0,14.24,0.0,96.12,1.64,33.02848183956101,0.0,4.2853409981708905,0.429
Boston Market,Cornbread,2.299999952316284,oz,172.9,28.28,4.24,4.62,1.01,26.0,427.7,0.93,95.55,4.36,65.4251012145749,24.048582995951413,10.086755349913245,0.434
Boston Market,Horseradish,1.0,oz,2.4,0.56,0.4,0.03,0.0,0.0,21.0,0.17,12.3,0.06,93.33333333333334,11.250000000000002,10.0,0.292
Boston Market,Apple Pie,1.0,slice,296.25,42.5,19.56,13.75,4.75,0.0,251.25,2.0,81.25,2.38,57.383966244725734,41.77215189873418,3.213502109704641,0.443
Boston Market,Beef Gravy,1.0,oz,123.49,11.21,0.49,5.5,2.69,6.99,1304.8,0.93,188.73,8.74,36.31063243987368,40.08421734553405,28.3099846141388,0.443
Boston Market,Caesar Dressing,1.5,oz,162.6,0.99,0.84,17.36,2.64,11.7,362.7,0.15,8.7,0.65,2.4354243542435423,96.08856088560887,1.5990159901599017,0.281
Boston Market,Holiday Cornbread,1.0,Serving,176.95,14.85,10.03,0.11,0.01,0.0,14.94,1.16,199.86,0.52,33.568804747103705,0.559480079118395,1.1754732975416786,0.159
Boston Market,Holiday Crackers,1.0,Serving,12.54,2.22,0.04,0.26,0.05,0.0,28.23,0.08,4.56,0.28,70.81339712918661,18.660287081339714,8.931419457735249,0.322
Boston Market,Holiday Gravy,1.0,Serving,1023.68,138.72,105.49,47.79,29.87,312.19,342.09,4.96,399.15,17.95,54.20443888715224,42.016059706158174,7.013910597061582,0.156
Boston Market,Meatloaf (Kids),3.4000000953674316,oz,227.92,18.74,9.59,10.65,3.35,39.36,1201.56,1.42,335.77,13.78,32.88873288873289,42.05422955422956,24.183924183924184,0.266
Boston Market,Meatloaf - Large,10.199999809265137,oz,227.92,18.74,9.59,10.65,3.35,39.36,1201.56,1.42,335.77,13.78,32.88873288873289,42.05422955422956,24.183924183924184,0.266
Boston Market,Meatloaf - Regular,6.800000190734863,Ounce-weight,521.07,21.69,3.31,29.53,10.77,154.53,1055.78,2.97,908.73,40.16,16.650354079106453,51.00466348091427,30.828871360853622,0.514
Boston Market,Poultry Gravy,1.0,oz,322.71,16.14,5.86,26.14,10.77,34.09,993.82,0.45,178.42,5.47,20.00557776331691,72.90136655201265,6.780081187443836,0.253
Boston Market,Ranch Dressing,1.5,oz,129.0,1.77,1.41,13.36,2.09,7.8,270.3,0.0,19.2,0.4,5.488372093023256,93.20930232558139,1.2403100775193798,0.262
Boston Market,Turkey (Kids),2.5,oz,124.95,0.0,0.0,1.77,0.5,68.0,84.15,0.0,211.65,25.61,0.0,12.749099639855944,81.98479391756702,0.4
Boston Market,Vegetarian Bowl,1.0,Bowl,459.93,70.25,12.87,13.21,1.99,2.47,2231.37,20.96,1169.14,21.61,61.096253777748785,25.849585806535778,18.794164329354466,0.531
Boston Market,BBQ Chicken Bowl,1.0,Bowl,131.07,0.31,0.31,9.2,2.36,65.79,295.29,0.0,145.35,11.94,0.9460593575951782,63.17235065232318,36.438544289311054,0.35
Boston Market,Beef Au Jus,1.0,oz,60.47,1.18,0.01,5.83,2.9,6.21,460.37,0.1,33.64,0.77,7.805523400033073,86.77029932197784,5.093434761038532,0.316
Boston Market,Caesar Side Salad,1.0,Side Salad,481.41,22.8,4.93,39.7,8.19,35.68,1151.94,5.75,612.82,10.21,18.944350969028477,74.21948027668724,8.48341330674477,0.448
Boston Market,Carrot Cake - Slice,6.400000095367432,oz,170.67,21.92,16.54,8.94,4.64,26.77,111.28,0.43,31.59,1.45,51.37399660162888,47.143610476357885,3.398371125563954,0.222
Boston Market,Chicken & Cheddar Slider,1.0,Slider,255.12,17.44,4.24,13.01,2.95,42.62,291.67,1.98,263.25,16.6,27.343994982753216,45.89604891815616,26.02696770147382,0.406
Buca Di Beppo,Buca Trio Platter,1.0,serving,1080.65,95.65,8.59,55.52,16.97,140.9,1283.4,8.31,1570.14,47.97,35.40461759126451,46.238837736547445,17.755980197103593,0.289
Buca Di Beppo,Bruschetta,1.0,serving,72.51,6.24,1.04,4.85,2.12,7.63,103.12,0.47,60.31,1.32,34.42283822920976,60.1985932974762,7.281754240794373,0.331
Buca Di Beppo,Lasagna,1.0,serving,602.49,34.72,11.27,32.45,15.29,165.85,1575.92,3.92,1041.44,43.91,23.051004995933543,48.473833590599014,29.15235107636641,0.483
Buca Di Beppo,Tiramisu,1.0,serving,572.0,35.11,20.65,44.36,25.45,306.58,300.41,0.33,160.95,8.29,24.55244755244755,69.7972027972028,5.797202797202797,0.38
Buca Di Beppo,Shrimp Fra Diavolo,1.0,serving,112.14,0.68,0.67,12.14,7.63,35.6,44.68,0.0,23.54,0.66,2.42553950419119,97.43178170144463,2.354200107009096,0.283
Buca Di Beppo,Baked Rigatoni,1.0,serving,199.87,39.04,0.71,1.18,0.22,0.0,1.26,2.28,55.66,7.34,78.13078501025666,5.313453744934207,14.689548206334116,0.711
Buca Di Beppo,Baked Ziti,1.0,serving,579.26,71.44,11.46,18.9,9.06,82.13,1348.5,6.81,848.39,29.32,49.33190622518385,29.365051962849154,20.246521423885646,0.51
Buca Di Beppo,Caesar Salad,1.0,serving,481.41,22.8,4.93,39.7,8.19,35.68,1151.94,5.75,612.82,10.21,18.944350969028477,74.21948027668724,8.48341330674477,0.448
Buca Di Beppo,Cheese Manicotti,1.0,serving,222.04,16.5,2.87,10.91,5.86,64.9,476.94,1.22,259.49,14.01,29.724373986669068,44.22176184471267,25.23869573049901,0.429
Buca Di Beppo,Chicken Cannelloni,1.0,serving,570.0,17.56,2.87,8.43,7.63,79.8,476.94,1.43,253.21,5.97,12.322807017543859,13.310526315789476,4.189473684210526,0.401
Buca Di Beppo,Chicken Carbonara,1.0,serving,1143.91,133.42,2.5,35.72,11.58,276.53,1147.99,7.48,743.19,69.09,46.65401998408965,28.103609549702334,24.159243297112535,0.4
Buca Di Beppo,Chicken Limone,1.0,serving,14.94,1.1,1.07,0.52,0.03,4.98,923.79,0.0,44.82,1.59,29.45113788487283,31.32530120481928,42.570281124497996,0.276
