food_name,calories_x,carbohydrates_x,fiber_x,fats_x,glycemic_index,category,description,brand,food_category,sugars_x,proteins_x,serving_weight,restaurant_name,serving_size,serving_unit,calories_y,carbohydrates_y,sugars_y,fats_y,saturated_fats,cholesterol,sodium,fiber_y,potassium,proteins_y,calories_per_100g,carbs_per_100g,fats_per_100g,gi_category
bell tower cerveza (12 oz),,,,,,,,,,,,,Taco Bell,12.0,oz,50.22,11.76,,0.39,0.06,0.0,3.72,1.67,394.32,1.86,,,,Unknown
bell tower cerveza (16 oz),,,,,,,,,,,,,Taco Bell,16.0,oz,50.22,11.76,,0.39,0.06,0.0,3.72,1.67,394.32,1.86,,,,Unknown
bertucci's sampler,,,,,,,,,,,,,Bertucci's,1.0,Serving,64.72,15.41,8.66,0.61,0.03,0.0,1.42,5.55,191.38,1.4,,,,Unknown
big breakfast,,,,,,,,,,,,,McDonald's,1.0,Serving,345.84,68.62,11.04,1.73,0.47,0.0,552.82,2.1,140.17,13.83,,,,Unknown
big brunch,,,,,,,,,,,,,IHOP,1.0,Serving,562.83,43.98,8.69,32.76,8.33,78.84,1007.4,3.5,396.39,25.89,,,,Unknown
big fish,,,,,,,,,,,,,Burger King,1.0,serving,562.83,43.98,8.69,32.76,8.33,78.84,1007.4,3.5,396.39,25.89,,,,Unknown
big mac,,,,,,,,,,,,,McDonald's,1.0,Serving,562.83,43.98,8.69,32.76,8.33,78.84,1007.4,3.5,396.39,25.89,,,,Unknown
biscuit,,,,,,,,,,,,,KFC,1.0,Biscuit,211.8,26.76,1.31,9.78,2.59,1.8,348.0,0.9,72.6,4.2,,,,Unknown
"bistro french onion, bread bowl",,,,,,,,,,,,,Panera Bread,1.0,Serving,45.36,6.0,3.99,1.5,1.0,5.04,650.16,1.01,559.44,2.0,,,,Unknown
black beans,104.4,24.419999999999998,12.040000000000001,0.0,30.0,Diabetic-Friendly Foods,BLACK BEANS,AHOLD,Canned & Bottled Beans,,6.15,,Chipotle,4.0,oz,227.04,40.78,0.55,0.93,0.24,0.0,1.72,14.96,610.6,15.24,,,,Low
"black beans, large",,,,,,,,,,,,,Rubio's,1.0,Serving,386.98,70.38,0.98,1.23,0.32,0.0,1632.96,29.34,1309.77,25.64,,,,Unknown
"black beans, regular",,,,,,,,,,,,,Rubio's,1.0,Serving,210.04,37.13,5.12,5.1,0.74,0.0,591.32,10.78,752.29,8.78,,,,Unknown
black pepper focaccia bread,,,,,,,,,,,,,Panera Bread,57.0,gram,281.07,21.18,3.36,12.37,2.45,102.38,754.19,2.27,364.26,22.51,,,,Unknown
blackberry blitz,,,,,,,,,,,,,Chili's,1.0,Serving,124.95,3.84,0.91,0.0,0.0,0.0,5.88,0.0,186.69,0.1,,,,Unknown
blackened chicken,,,,,,,,,,,,,Sweetgreen,1.0,Serving,345.3,10.36,6.66,25.63,7.07,77.28,2434.23,0.92,459.81,18.12,,,,Unknown
blue cheese,,,,,,,,,,,,,Whataburger,1.0,Serving,100.08,0.66,0.14,8.15,5.29,21.26,324.89,0.0,72.58,6.07,,,,Unknown
blue cheese dip,,,,,,,,,,,,,Wingstop,3.25,oz Cup,72.6,0.72,0.52,7.67,1.24,4.65,96.3,0.06,13.2,0.21,,,,Unknown
blue raspberry,,,,,,,,,,,,,TGI Friday's,1.0,Serving,405.42,65.01,33.72,15.46,5.64,6.57,267.83,6.12,163.52,3.81,,,,Unknown
blueberries,54.2,12.1,2.9,0.71,,Diabetic-Friendly Foods,BLUEBERRIES,PARADE,Frozen Fruit & Fruit Juice Concentrates,,0.0,,Chipotle,1.25,oz,0.78,0.2,0.14,0.0,0.0,0.0,0.01,0.03,1.05,0.01,,,,Unknown
blueberry muffin,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,Low
blueberry syrup,,,,,,,,,,,,,IHOP,1.0,fl oz,286.44,71.51,44.52,0.0,0.0,0.0,0.0,0.08,5.88,0.0,,,,Unknown
